,life,bc,matdeath,teen,abuse,gdp,legis,healthspend,wifehealth,hushealth,bothhealth,eduspend,lit,noschool,bach
615,47.5780731707,7.9,1370.0,212.41,,166.008015485,,2.66748417981,,,,2.64670991898,0.417259991169,,
616,47.5871219512,,1360.0,211.069,,197.302275109,,2.39648242533,,,,2.42614006996,,,
617,47.616097561,,1310.0,209.728,,220.795351921,,2.6918639922,,,,,,,
618,47.6818536585,,1260.0,204.1582,,292.581582779,,2.26832028445,,,,,,,
619,47.7958292683,11.1,1220.0,198.5884,,454.655283385,,2.2993551546,,,,1.59294998646,0.573000013828,77.67247,3.21799
620,47.973902439,,1170.0,193.0186,,660.181556792,,1.55797136952,,,,1.69476997852,,,
621,48.2300243902,,1130.0,187.4488,,712.046809818,,1.12897879894,,,,,,,
622,48.5592195122,,1100.0,181.879,,801.401600355,,1.25025122114,,,,,,,
623,48.9515853659,,1070.0,175.9062,,929.279644922,,0.99660419148,,,,,,,
624,49.3931707317,,1070.0,169.9334,,803.914352345,,1.23152279146,,,,2.31173992157,,,
625,49.8620731707,4.8,1040.0,163.9606,,895.877995852,,1.18513716484,,,,1.98194003105,,,
626,50.3319512195,,984.0,157.9878,,988.443159794,,1.53487456468,,,,2.25789999962,,,
627,50.7813902439,,931.0,152.015,,972.67934511,,1.42193940706,,,,,,,
628,51.1914878049,,901.0,144.594,,985.095322001,,1.77469231474,,,,2.85070991516,,,
629,51.555804878,,881.0,137.173,,1024.66835402,,1.97895016198,,,,,0.876100003719,,
630,77.5145121951,,,12.6372,,43299.4011411,,,,,,,,,
631,77.7781707317,,,12.2576,,41609.0194763,,,,,,,,,
632,78.0557804878,,,11.878,,44158.0402554,,,,,,,,,
633,78.3398292683,,,11.4848,,48227.6655088,,,,,,,,,
634,78.6253170732,,,11.0916,,55844.1166944,,,,,,,,,
635,78.9032195122,,,10.6984,,57209.2491625,,,,,,,,,
636,79.1665365854,,,10.3052,,62260.225545,,,,,,,,,
637,79.410804878,,,9.912,,73568.234828,,,,,,,,,
638,79.6330243902,,,9.5432,,,,,,,,,,,
639,79.8327073171,,,9.1744,,,,,,,,,,,
640,80.0103658537,,,8.8056,,,,,,,,,,,
641,80.1695121951,,,8.4368,,,,,,,,,,,
642,80.3186585366,,,8.068,,,,,,,,,,,
643,80.4628292683,,,7.6044,,,,,,,,,,,
644,80.6064878049,,,7.1408,,,,,,,,,,,
645,76.8208292683,,31.0,57.0052,,5229.17709771,,3.33206176723,,,,3.70598006248,,,
646,77.1987073171,60.7,32.0,55.7296,,4709.92339982,,3.48454215779,,,,,,,
647,77.5695853659,,29.0,54.454,,4566.5233257,32.7227988294,3.52989088116,,,,4.00946998596,1.00383996964,,
648,77.9329756098,,29.0,54.1002,,4948.74817982,,2.68754976128,,,,3.85159993172,,,
649,78.2893902439,,29.0,53.7464,,6323.75763996,,2.63814344,,,,3.48845005035,,1.97767,13.12418
650,78.6382926829,,27.0,53.3926,,7728.61189742,,2.53629152371,,,,3.22508001328,,,
651,78.9791707317,64.2,28.0,53.0388,,9500.83516203,,2.51761734723,,,,3.02380990982,,,
652,79.3135365854,,29.0,52.685,,10513.5407093,,2.65565625835,,,,3.22353005409,,4.12594,14.9608
653,79.640902439,,28.0,52.012,,10791.0201853,,2.94258871847,,,,3.7926800251,1.0008200407,0.92009,20.80062
654,79.960804878,,27.0,51.339,,10217.3140258,,3.46810215136,,,,4.24129009247,1.00030994415,1.0741,25.88593
655,80.275804878,,26.0,50.666,,12785.0518749,,3.29492563183,,,,4.18120002747,,2.94292,18.01434
656,80.5869756098,,25.0,49.993,,14582.1705199,,3.3326392355,,,,4.06809997559,1.00393998623,3.51854,9.96172
657,80.8948536585,,24.0,49.32,,15253.3308269,,3.47616472142,,,,4.57405996323,,,
658,81.1979268293,,23.0,48.7144,,15764.7554534,,3.63282145186,,,,4.55743980408,1.00083005428,3.04152,11.22583
659,81.496195122,,23.0,48.1088,,14566.1490549,,3.85130942382,,,,,,,
660,71.7304634146,83.8,58.0,8.7724,,954.55229173,,1.75984346798,,,,,0.993009984493,10.79375,
661,72.1757804878,86.9,56.0,8.4602,,1047.47786287,,1.62128422384,,,,,,,
662,72.6148780488,,54.0,8.148,,1141.75764438,,1.71467223811,,,,,,,
663,73.0331219512,,52.0,8.0894,,1280.60285481,,1.74652999361,,,,,,,
664,73.4199512195,,50.0,8.0308,,1498.17379563,,1.79342983462,,,,,,,
665,73.7669512195,,48.0,7.9722,,1740.09672638,16.7524547475,1.8059203057,,,,,,,
666,74.0717073171,84.6,45.0,7.9136,,2082.1833625,,1.83853832016,,,,,,,
667,74.3404390244,,43.0,7.855,,2673.29419094,,2.02659210629,,,,,,,
668,74.5832682927,89.3,40.0,7.7882,,3441.22135457,,2.29212345222,,,,,,,
669,74.8032682927,89.0,38.0,7.7214,,3800.47454161,,2.66448262884,,,,,,,
670,75.0074146341,89.1,35.0,7.6546,,4514.94052013,,2.65382009814,,,,,0.999029994011,6.5918,3.19897
671,75.2021707317,88.6,33.0,7.5878,,5574.18709337,,2.8106526556,,,,,,,
672,75.3929268293,87.9,31.0,7.521,,6264.64387794,,2.94581376572,,,,,,,
673,75.5851463415,,29.0,7.4344,,6991.85386564,,3.00560140777,,,,,,,
674,75.7822682927,,28.0,7.3478,,7587.28973166,,3.09517428574,,,,,,,
675,70.9887073171,76.9,97.0,85.107,,2472.19777586,,4.68382686372,65.3,10.7,21.0,3.51120996475,,,
676,71.2603902439,,95.0,85.713,,2395.85652219,,4.69052384131,,,,3.70867991447,,,
677,71.5217317073,,93.0,86.319,,2355.72575252,,4.54973605822,,,,4.26812982559,,,
678,71.776902439,,89.0,81.7922,,2246.25764788,,4.89927743651,,,,4.32513999939,,,
679,72.0249512195,,83.0,77.2654,,2740.24986649,,4.08286676408,,,,4.07934999466,1.00880002975,9.93501,11.9324
680,72.2639268293,78.2,80.0,72.7386,,3386.02547761,,4.31601707702,74.1,8.5,15.0,3.99500989914,1.00880002975,9.05666,10.01663
681,72.4914390244,,77.0,68.2118,,3709.07691441,,4.53504230536,,,,3.89332008362,1.00678002834,9.32229,9.74013
682,72.7055121951,,75.0,63.685,,4674.21171018,,4.53952651891,,,,4.05870008469,1.0096000433,8.81613,9.72484
683,72.9071707317,,73.0,62.4794,,5433.70641243,,4.69800725589,,,,3.90980005264,1.00901997089,8.12787,10.08181
684,73.0969512195,,73.0,61.2738,,5148.41134364,53.4415062589,5.14827378418,,,,4.74742984772,1.01020002365,8.4014,9.48232
685,73.2778536585,79.1,72.0,60.0682,,6250.65449979,53.1188965188,4.97565293822,76.2,7.5,13.6,4.82615995407,1.00854003429,8.19876,9.84262
686,73.454804878,,69.0,58.8626,,7227.77082956,,5.01616469757,,,,4.45980978012,1.00986003876,7.92714,19.74592
