,bc,gdp,healthspend,eduspend
0,4.9,862.061370614,1.27284522013,2.03217179635
1,13.2838052307,119.899037112,2.3932223679,3.72337895763
2,41.3090544646,192.153528279,0.550723349693,3.92577581248
3,10.3,203.651040923,0.60790041145,4.45007512091
4,49.9991594819,224.914712193,0.969458795307,4.8482224917
5,13.6,257.175794656,0.801919174976,3.28185370905
6,18.6,280.245644107,1.06242003296,4.28189409215
7,41.4380684243,380.400955187,0.522136074337,4.5360764547
8,22.8,384.131681277,1.38558405017,4.52501401219
9,44.7241612988,458.955781586,2.58612677662,3.16832559353
10,21.8,569.940728793,2.85537650336,4.51115989685
11,21.2,622.379654358,2.08009266048,4.08791017532
12,32.8603220941,690.842629015,2.92056600686,3.12561988831
13,45.6831898172,653.347488111,2.65039388934,4.54436016083
14,40.8316131794,633.947864295,2.93283372244,4.80434989929
15,57.5,1175.78898073,2.25841795816,3.28692007065
16,50.1760268006,1326.97033929,2.29222401883,3.34060001373
17,75.1,1453.64277661,2.25632589322,3.05662989616
18,41.9697691291,1890.68155744,2.25210415139,3.06427001953
19,37.8253541223,2416.58823507,2.67940487028,3.17007994652
20,60.1,2709.14293056,2.70645544321,3.23871994019
21,39.009986299,3005.01290338,2.57513609221,3.15719008446
22,38.9006465481,3603.01368537,2.62917110006,3.26868009567
23,42.3572233989,4370.53964653,2.69389845031,2.83904855178
24,69.3,4114.13654491,2.83357574292,1.50166854598
25,46.9537647263,4094.35883192,2.47656802966,4.87351048881
26,38.9068412598,4437.81199903,2.84917085993,1.50063426583
27,41.4198688906,4247.83985202,2.73570410002,1.50739563955
28,37.3874867471,4412.34557813,2.8359842358,3.53800010681
29,37.0807890815,4588.64944015,2.93637327546,1.49407595991
30,64.0,1757.01197444,2.55856124047,3.63099048813
31,36.3824703557,1732.95851735,2.97171746019,1.49097456202
32,57.0,1774.2920208,2.85227361029,1.50042395337
33,39.9346230623,2094.89330213,2.80223702305,2.60987908495
34,45.1454292455,2600.00651973,2.56624807223,4.87249272291
35,50.2065663391,3102.03738423,2.28023307422,4.87669379829
36,61.4,3467.54474009,2.33485067068,3.72114870625
37,42.0958226095,3939.5599394,2.70557079118,1.50893129549
38,36.7295512816,4912.25194082,3.06280389314,4.33701992035
39,29.3009877481,3875.82209542,3.83796597982,1.02331442038
40,29.635730556,4473.48644568,3.59320852609,1.35563645373
41,29.3377973246,5447.40397557,3.77572930751,1.75715025268
42,55.9,5583.6161595,4.52025088967,2.37313836556
43,57.1,5491.61441356,5.18835904861,2.37943038954
44,32.5925445418,5484.06680561,5.24414552955,2.38247386482
45,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0
60,29.403681987,21432.9600712,3.97654822681,1.24118531849
61,29.4077829732,21897.6629395,3.9797635075,1.24382285579
62,29.5218352707,24175.3727543,4.10958904131,1.69684004784
63,29.3683718952,31742.9925848,3.94617981497,1.2115059582
64,29.3230461804,37235.4500323,3.91626013954,1.53253996372
65,29.7062890784,39990.3304086,3.45970884883,1.60025000572
66,29.5617564458,42417.2291457,3.5661223727,2.19398999214
67,30.7866438048,47253.5297963,4.58632291178,2.07404994965
68,32.1962688848,46735.9995745,4.8250708191,2.93457007408
69,33.2350432444,42701.4471363,5.03753714402,3.16387009621
70,37.030275518,39639.3860212,6.24202669691,3.06579995155
71,32.7813103394,41630.0525793,4.92628930611,3.15889000893
72,33.7083785108,39666.3692147,5.74703987728,2.61376917118
73,72.7207023039,42806.5224483,9.69235679435,2.46257996559
74,54.7836009577,9828.84573745,6.3414460038,3.06441998482
75,68.3519609022,606.272292244,1.67721646394,2.60753011703
76,6.2,574.194161137,2.81240339432,2.63635421309
77,53.8880943006,775.76551846,1.68521754178,4.9862188954
78,53.4810188004,850.07569413,2.04436935753,4.88434365189
79,48.2138984842,1135.60456355,2.40784051512,4.87444591491
80,49.7477027535,1576.16280067,2.02464637963,2.12011003494
81,32.0886648894,2253.83885004,3.02243534533,2.28146004677
82,51.054215806,3151.02243105,2.21376401915,4.87824205027
83,41.854471245,4242.36306234,2.71633445217,4.61203591271
84,17.7,3678.94765447,2.66391720736,3.99891406202
85,51.3007014451,3886.47935433,2.06125466362,3.43897008896
86,51.6946014466,4744.9876295,2.15509427387,4.87992428743
87,51.8692334682,5086.84842581,2.13731650332,4.88050856771
88,34.4275089699,5327.14889219,3.08040839243,1.4792659528
89,51.9858624128,5232.69050054,2.12491219483,4.88093983237
90,40.2547979651,10094.7590646,2.78780547979,1.50450004664
91,36.8130750898,9797.96871277,2.94975995263,1.49293527858
92,35.4528345557,10027.8562206,2.95023144423,3.44538998604
93,46.7232662241,10382.6309005,2.95001300522,1.49291336849
94,42.6723972934,10993.3692473,2.67979352993,2.89315175853
95,36.8063527275,12079.865695,2.9500985951,1.49290585578
96,36.8062068209,13599.9088573,2.95010587353,1.49290526174
97,36.8083096683,15276.0682647,2.94999999639,1.49291441723
98,31.100074282,15786.1728395,3.34303138567,1.42444082229
99,30.4307908925,13979.2626926,3.3438995958,2.55447006226
100,29.3232462238,13017.3103875,3.893547142,1.12898791674
101,29.3216489236,12817.8415733,3.89103955858,1.12369328786
102,29.4761782497,13525.6162201,3.6523326342,1.52650603896
103,29.6376939755,13342.0849977,3.59259739302,1.35485470341
104,29.3082185881,13432.0792079,3.78461067587,1.69245667386
105,44.313944495,2608.88594889,2.33359609958,3.72463516785
106,36.3148151312,2513.64825356,2.58875077999,3.24970306877
107,45.6864809656,2481.21163817,2.54023836002,4.87276738709
