,gdp,life,bc,healthspend,teen,matdeath,wifehealth,hushealth,bothhealth,eduspend,noschool,malenoschool,malelit,malesomeschool,femalelit,bach,fembach,abuse,legis
68,46735.9995745,,,4.8250708191,,,,,,2.93457007408,,,,,,,,,
69,42701.4471363,,,5.03753714402,,,,,,3.16387009621,,,,,,,,,
70,39639.3860212,,,6.24202669691,,,,,,3.06579995155,,,,,,,,,
71,41630.0525793,,,4.92628930611,,,,,,3.15889000893,,,,,,,,,
72,39666.3692147,,,5.74703987728,,,,,,,,,,,,,,,
73,42806.5224483,,,9.69235679435,,,,,,2.46257996559,,,,,,,,,
74,,,,6.3414460038,,,,,,3.06441998482,3.46551,3.07792,,73.65604,,,,,
75,606.272292244,45.2047804878,,1.67721646394,210.6736,924.0,,,,2.60753011703,,,,,,,,,
76,574.194161137,45.9731463415,6.2,2.81240339432,208.4248,878.0,,,,,,,82.9198684692,,54.1944885254,,,,
77,775.76551846,46.7117317073,,1.68521754178,206.176,831.0,,,,,,,,,,,,,
78,850.07569413,47.3931707317,,2.04436935753,202.6216,789.0,,,,,,,,,,,,,
79,1135.60456355,48.0035121951,,2.40784051512,199.0672,749.0,,,,,,,,,,,,,
80,1576.16280067,48.538804878,,2.02464637963,195.5128,705.0,,,,2.12011003494,,,,,,,,,
81,2253.83885004,49.0070487805,,3.02243534533,191.9584,668.0,,,,2.28146004677,,,,,,,,,
82,3151.02243105,49.4357317073,,2.21376401915,188.404,640.0,,,,,,,,,,,,,
83,4242.36306234,49.8473902439,,2.71633445217,185.912,606.0,,,,,,,,,,,,,
84,3678.94765447,50.2510243902,17.7,2.66391720736,183.42,581.0,,,,,,,,,,,,,
85,3886.47935433,50.6541707317,,2.06125466362,180.928,561.0,,,,3.43897008896,,,,,,,,,
86,4744.9876295,51.0593170732,,2.15509427387,178.436,546.0,,,,,,,,,,,,,
87,5086.84842581,51.464,,2.13731650332,175.944,526.0,,,,,,,,,,,,,
88,5327.14889219,51.8661707317,,3.08040839243,171.2734,509.0,,,,,,,,,,,,,
89,5232.69050054,52.2668780488,,2.12491219483,166.6028,493.0,,,,,,,82.1510467529,,60.2404899597,,,,
90,10094.7590646,73.3972926829,,2.78780547979,65.1598,,,,,,,,,,,,,,
91,9797.96871277,73.607097561,,2.94975995263,63.9704,,,,,,,,98.4000015259,,99.4199981689,,,,45.0597876979
92,10027.8562206,73.8154390244,,2.95023144423,62.781,,,,,3.44538998604,,,,,,,,,
93,10382.6309005,74.0217804878,,2.95001300522,61.3234,,,,,,,,,,,,,,
94,10993.3692473,74.2261463415,,2.67979352993,59.8658,,,,,,,,,,,,,,
95,12079.865695,74.4254390244,,2.9500985951,58.4082,,,,,,,,,,,,,,
96,13599.9088573,74.6181463415,,2.95010587353,56.9506,,,,,,,,,,,,,,
97,15276.0682647,74.8032195122,,2.94999999639,55.493,,,,,,,,,,,,,,
98,15786.1728395,74.9791707317,,3.34303138567,54.247,,,,,,,,,,,,,,
99,13979.2626926,75.1470243902,,3.3438995958,53.001,,,,,2.55447006226,,,,,,,,,
100,13017.3103875,75.3087804878,,3.893547142,51.755,,,,,,,,,,,,,,
101,12817.8415733,75.4660243902,,3.89103955858,50.509,,,,,,,,,,,,,,
102,13525.6162201,75.621804878,,3.6523326342,49.263,,,,,,,,,,,,,,
