,bc,gdp,healthspend,eduspend
0,4.9,9874.12538118,2.4538340959,4.12180111956
1,45.7657211914,119.899037112,3.20846318805,4.43196874923
2,43.232345245,192.153528279,0.550723349693,4.2757512151
3,10.3,203.651040923,0.60790041145,4.54764167262
4,40.1969099924,224.914712193,0.969458795307,4.19499068496
5,13.6,257.175794656,0.801919174976,4.61466454155
6,18.6,280.245644107,1.06242003296,4.51934210964
7,45.171186377,380.400955187,0.522136074337,4.45477318762
8,22.8,384.131681277,1.38558405017,4.48370821188
9,50.017628652,458.955781586,2.58612677662,4.29999708559
10,21.8,569.940728793,2.85537650336,4.51115989685
11,21.2,622.379654358,2.08009266048,4.08791017532
12,44.1546656684,690.842629015,2.92056600686,3.12561988831
13,44.6614099408,653.347488111,2.65039388934,4.54436016083
14,45.8911477135,633.947864295,2.93283372244,4.80434989929
15,57.5,1175.78898073,2.25841795816,3.28692007065
16,45.7280115107,1326.97033929,2.29222401883,3.34060001373
17,75.1,1453.64277661,2.25632589322,3.05662989616
18,44.2427267528,1890.68155744,2.25210415139,3.06427001953
19,49.4227530381,2416.58823507,2.67940487028,3.17007994652
20,60.1,2709.14293056,2.70645544321,3.23871994019
21,45.2604936652,3005.01290338,2.57513609221,3.15719008446
22,41.3284576882,3603.01368537,2.62917110006,3.26868009567
23,45.4579892764,4370.53964653,2.69389845031,4.56565321792
24,69.3,4114.13654491,2.83357574292,4.52275384128
25,49.6387222276,4094.35883192,2.47656802966,4.38278697479
26,46.793953804,4437.81199903,2.84917085993,4.2316401591
27,48.9927452148,4247.83985202,2.73570410002,4.34211174006
28,46.5614073216,4412.34557813,2.8359842358,3.53800010681
29,50.9126013195,4588.64944015,2.93637327546,4.19774721759
30,64.0,1757.01197444,2.55856124047,4.32595438142
31,48.3020132281,1732.95851735,2.97171746019,4.20155112058
32,57.0,1774.2920208,2.85227361029,4.21309162125
33,49.7651834735,2094.89330213,2.80223702305,4.54579237703
34,46.048479314,2600.00651973,2.56624807223,4.3754242567
35,48.0936668832,3102.03738423,2.28023307422,4.41852911231
36,61.4,3467.54474009,2.33485067068,4.20768164534
37,46.8140269178,3939.5599394,2.70557079118,4.41728739144
38,50.1306929076,4912.25194082,3.06280389314,4.33701992035
39,44.849536244,3875.82209542,3.83796597982,4.68023690539
40,47.9020204418,4473.48644568,3.59320852609,4.13202964694
41,47.5032950793,5447.40397557,3.77572930751,4.75307549442
42,55.9,5583.6161595,4.52025088967,4.34804500832
43,57.1,5491.61441356,5.18835904861,4.44180367459
44,49.4204958698,5484.06680561,5.24414552955,4.23265362197
45,56.5369282879,10771.4143798,3.64203717839,4.62018976188
46,46.6575391188,6563.86766518,3.8577278909,4.6214157308
47,48.8206212423,6986.01368408,3.4383949102,4.52185807249
48,55.1103372467,11058.6483137,4.22637955401,4.32605085436
49,54.757488234,12405.4243396,4.0072485692,4.55655335076
50,52.6164149044,10655.275304,3.66602464948,4.33710360423
51,52.265389298,8431.91778702,3.67151577333,4.42563157437
52,55.7493409863,11406.5158993,3.7114191069,4.43668676499
53,49.9830565016,11685.0778211,3.93763270073,4.66221278027
54,53.1336929933,11218.8225772,3.48547969604,4.74539587874
55,54.06137739,10212.4309794,4.0521518043,4.71912434315
56,50.4162163928,10408.4955065,3.60557851119,4.54374019787
57,58.9376741515,13285.98779,3.81672560734,4.43797453956
58,52.9021918907,9691.09759123,3.74157333824,4.5006881132
59,51.8282069348,10654.8114069,3.84527498731,4.78894072401
60,59.9917709265,21432.9600712,3.97654822681,4.37831169586
61,64.8001368636,21897.6629395,3.9797635075,4.72195346231
62,64.4277775402,24175.3727543,4.10958904131,1.69684004784
63,66.4388974626,31742.9925848,3.94617981497,4.90438241197
64,74.6297025219,37235.4500323,3.91626013954,1.53253996372
65,78.6830819053,39990.3304086,3.45970884883,1.60025000572
66,81.7835975276,42417.2291457,3.5661223727,2.19398999214
67,81.5954132392,47253.5297963,4.58632291178,2.07404994965
68,80.5525808087,46735.9995745,4.8250708191,2.93457007408
69,77.2785156801,42701.4471363,5.03753714402,3.16387009621
70,76.6876903545,39639.3860212,6.24202669691,3.06579995155
71,75.5890646083,41630.0525793,4.92628930611,3.15889000893
72,75.5151929538,39666.3692147,5.74703987728,4.92260095088
73,80.5330575878,42806.5224483,9.69235679435,2.46257996559
74,57.2615444613,14907.5662879,6.3414460038,3.06441998482
75,41.0894620116,606.272292244,1.67721646394,2.60753011703
76,6.2,574.194161137,2.81240339432,4.44295050723
77,42.3179227326,775.76551846,1.68521754178,4.59357585524
78,44.1021511219,850.07569413,2.04436935753,4.15094433063
79,45.3552532054,1135.60456355,2.40784051512,4.68161310837
